kconfig 6.12.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.12.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.12.0-1
kcoreaddons 6.12.0-1
kcoreaddons5 5.116.0-1
kcrash 6.12.0-1
kcrash5 5.116.0-1
kdbusaddons 6.12.0-1
kdbusaddons5 5.116.0-1
kdeclarative 6.12.0-1
kdeclarative5 5.116.0-1
kdeconnect 24.12.3-1
kded 6.12.0-1
kded5 5.116.0-1
kdegraphics-mobipocket 24.12.3-1
kdegraphics-thumbnailers 24.12.3-1
kdenetwork-filesharing 24.12.3-1
kdesu 6.12.0-1
kdnssd 6.12.0-1
kdoctools 6.12.0-1
kdsingleapplication 1.1.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 24.12.3-1
keyutils 1.6.3-3
kfilemetadata 6.12.0-1
kfind 24.12.3-1
kglobalaccel 6.12.0-1
kglobalaccel5 5.116.0-1
kguiaddons 6.12.0-1
kguiaddons5 5.116.0-1
khelpcenter 24.12.3-1
kholidays 1:6.12.0-1
ki18n 6.12.0-1
ki18n5 5.116.0-1
kiconthemes 6.12.0-1
kiconthemes5 5.116.0-1
kidletime 6.12.0-1
kimageannotator 0.7.1-3
kimageformats 6.12.0-1
kio 6.12.0-1
kio-admin 24.12.3-1
kio-fuse 5.1.0-3
kio5 5.116.0-1
kirigami 6.12.0-1
kirigami-addons 1.7.0-1
kirigami2 5.116.0-1
kitemmodels 6.12.0-1
kitemmodels5 5.116.0-1
kitemviews 6.12.0-1
kitemviews5 5.116.0-1
kitty 0.40.0-1
kitty-shell-integration 0.40.0-1
kitty-terminfo 0.40.0-1
kjobwidgets 6.12.0-1
kjobwidgets5 5.116.0-1
kmod 34.1-1
knewstuff 6.12.0-1
knewstuff5 5.116.0-3
knotifications 6.12.0-1
knotifications5 5.116.0-1
knotifyconfig 6.12.0-1
konsole 24.12.3-1
kpackage 6.12.0-1
kpackage5 5.116.0-1
kparts 6.12.0-1
kpeople 6.12.0-1
kpty 6.12.0-1
kquickcharts 6.12.0-1
krb5 1.21.3-1
krunner 6.12.0-1
ksanecore 24.12.3-1
ksanecore5 24.08.3-1
kservice 6.12.0-1
kservice5 5.116.0-1
kstatusnotifieritem 6.12.0-1
ksvg 6.12.0-1
ksystemlog 24.12.3-1
ktexteditor 6.12.0-1
ktexttemplate 6.12.0-1
ktextwidgets 6.12.0-1
ktextwidgets5 5.116.0-1
kunitconversion 6.12.0-1
